State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Alabama,Autauga County,59285.0,3430.0,7749.0,3922.0,3417.0,7605.0,15806.0,7882.0,9474.0,0.41665682619487465,2188.0,57097.0,3.6906468752635573,96.30935312473645,AL
Alabama,Baldwin County,239945.0,12448.0,29231.0,14603.0,11675.0,26412.0,59732.0,34518.0,51326.0,0.3040435559400183,13393.0,226552.0,5.581695805288712,94.41830419471128,AL
Alabama,Barbour County,24757.0,1380.0,2885.0,1425.0,1439.0,3400.0,6058.0,3289.0,4881.0,0.5825026903787809,1490.0,23267.0,6.018499818233227,93.98150018176678,AL
Alabama,Bibb County,22152.0,1069.0,2608.0,1348.0,1196.0,3111.0,6050.0,3014.0,3756.0,0.3923904032952147,744.0,21408.0,3.358613217768147,96.64138678223185,AL
Alabama,Blount County,59292.0,3397.0,7760.0,3810.0,3334.0,7023.0,14794.0,8155.0,11019.0,0.19507434232750331,5962.0,53330.0,10.055319436011603,89.9446805639884,AL
Alabama,Bullock County,10157.0,552.0,1326.0,689.0,212.0,1681.0,2505.0,1375.0,1817.0,0.43871937178790776,577.0,9580.0,5.680811263168258,94.31918873683175,AL
Alabama,Butler County,18807.0,1066.0,2396.0,1060.0,1121.0,2095.0,4560.0,2483.0,4026.0,0.5376250134473601,300.0,18507.0,1.595150741745095,98.4048492582549,AL
Alabama,Calhoun County,116141.0,6504.0,13741.0,8905.0,8364.0,14638.0,27895.0,15155.0,20939.0,0.44568859289642215,5150.0,110991.0,4.434265246553758,95.56573475344624,AL
Alabama,Chambers County,34450.0,1985.0,3979.0,1814.0,2188.0,4431.0,8140.0,5029.0,6884.0,0.5339738195698105,1270.0,33180.0,3.6865021770682147,96.31349782293178,AL
Alabama,Cherokee County,25224.0,1178.0,2682.0,1342.0,1245.0,2734.0,6040.0,4000.0,6003.0,0.16443771325573664,437.0,24787.0,1.732477006026007,98.267522993974,AL
Alabama,Chilton County,45500.0,2758.0,6423.0,2712.0,2860.0,5624.0,11369.0,6068.0,7686.0,0.3335500775268688,4489.0,41011.0,9.865934065934066,90.13406593406593,AL
Alabama,Choctaw County,12525.0,674.0,1352.0,818.0,683.0,1260.0,2751.0,2005.0,2982.0,0.5308324859263509,136.0,12389.0,1.0858283433133733,98.91417165668663,AL
