FIPS,fmr_0_2021,fmr_1_2021,fmr_2_2021,fmr_3_2021,fmr_4_2021,County,State,fmr_0_2020,fmr_1_2020,fmr_2_2020,fmr_3_2020,fmr_4_2020,fmr_0_2023,fmr_1_2023,fmr_2_2023,fmr_3_2023,fmr_4_2023,fmr_0_2022,fmr_1_2022,fmr_2_2022,fmr_3_2022,fmr_4_2022,fmr_0_2024,fmr_1_2024,fmr_2_2024,fmr_3_2024,fmr_4_2024
100199999,640.0,766.0,908.0,1148.0,1520.0,Autauga County,AL,583.0,702.0,830.0,1047.0,1425.0,716.0,817.0,977.0,1241.0,1595.0,643.0,764.0,914.0,1156.0,1494.0,836.0,913.0,1092.0,1383.0,1753.0
100399999,718.0,723.0,922.0,1249.0,1584.0,Baldwin County,AL,744.0,749.0,916.0,1251.0,1566.0,924.0,928.0,1206.0,1534.0,1971.0,772.0,777.0,1017.0,1348.0,1715.0,1051.0,1056.0,1362.0,1670.0,2114.0
100599999,488.0,492.0,648.0,806.0,907.0,Barbour County,AL,477.0,481.0,633.0,789.0,925.0,558.0,562.0,740.0,941.0,994.0,532.0,536.0,705.0,871.0,980.0,652.0,656.0,857.0,1089.0,1141.0
100799999,817.0,871.0,1002.0,1303.0,1409.0,Bibb County,AL,804.0,861.0,986.0,1291.0,1425.0,866.0,942.0,1075.0,1376.0,1494.0,765.0,820.0,943.0,1220.0,1316.0,983.0,1109.0,1245.0,1570.0,1752.0
100999999,817.0,871.0,1002.0,1303.0,1409.0,Blount County,AL,804.0,861.0,986.0,1291.0,1425.0,866.0,942.0,1075.0,1376.0,1494.0,765.0,820.0,943.0,1220.0,1316.0,983.0,1109.0,1245.0,1570.0,1752.0
101199999,532.0,549.0,705.0,877.0,1034.0,Bullock County,AL,474.0,484.0,612.0,809.0,878.0,620.0,631.0,820.0,999.0,1229.0,589.0,602.0,783.0,968.0,1158.0,642.0,666.0,857.0,1130.0,1283.0
101399999,479.0,556.0,634.0,789.0,930.0,Butler County,AL,474.0,521.0,612.0,782.0,993.0,576.0,664.0,761.0,926.0,1022.0,530.0,619.0,705.0,871.0,1043.0,665.0,760.0,888.0,1074.0,1186.0
101599999,482.0,549.0,723.0,944.0,1094.0,Calhoun County,AL,468.0,531.0,700.0,910.0,1072.0,605.0,609.0,802.0,1088.0,1178.0,562.0,565.0,744.0,988.0,1111.0,683.0,687.0,903.0,1243.0,1319.0
101799999,534.0,620.0,744.0,956.0,1046.0,Chambers County,AL,486.0,593.0,683.0,887.0,977.0,688.0,692.0,911.0,1109.0,1224.0,655.0,659.0,861.0,1074.0,1168.0,814.0,820.0,1077.0,1302.0,1434.0
101999999,479.0,481.0,634.0,877.0,880.0,Cherokee County,AL,462.0,465.0,612.0,826.0,829.0,574.0,584.0,759.0,959.0,1097.0,530.0,536.0,705.0,982.0,1006.0,664.0,726.0,887.0,1072.0,1327.0
102199999,595.0,625.0,713.0,1020.0,1061.0,Chilton County,AL,594.0,627.0,714.0,1030.0,1122.0,617.0,634.0,755.0,1036.0,1040.0,583.0,619.0,705.0,978.0,982.0,682.0,690.0,857.0,1164.0,1168.0
